name,group,value
pli scheme,1,21
india gdp,1,21
sanitizer,1,21
human rights council,1,21
drone,2,23.5
sukhoi,1,21
airport authority of india,2,20.5
civil defence,1,21
china gdp,2,21
karisma kapoor,1,21
ranbir alia mehendi ceremony,2,20
sri lanka debt crisis,5,21
indian cricket,52,21.3
fog,1,21
india china border,1,21
afghanistan government,1,21
vinod kambli,1,21
indian team cricketer,1,21
drink and drive,2,20.5
climate agreement,1,21
arif alvi,1,21
hit and run,1,21
ezra miller,7,22.9
mahinda rajapaksa,1,21
indians in ukraine,1,21
curfew,3,35.7
rambukkana,1,21
cv raman,1,21
jamma and kashmir,1,21
prime minister narendra modi,2,20.5
india israel ties,1,21
raipur,1,21
uyghur community,1,21
uyghur detention camps,1,21
boarding schools,1,21
forest land,1,21
natural heritage,1,21
delhi government,4,20.2
covid guidelines for schools,1,21
covid guidelines,1,21
ankita nagar,1,21
tallest family,1,21
news updates,2,32
thai drama,3,27.3
multiple couples,1,32
love at first sight,2,26.5
novel adaptation,2,32
asian castle,24,32
binge,8,29.6
happy ending,4,26
netflix originals,44,23.3
cdrama,7,24
mainland,1,32
reel life,2,25.5
real life,5,25.8
marriage couple,3,24
rom-com,3,24
must watch,26,30.0
starring,1,32
best new actress,1,32
chinese dynasty,1,32
china productions,1,32
webtoon based,2,26.5
top 5,7,30.6
fantasy drama,2,32
weekend series,1,32
romcom,5,27
wishlist,1,32
proposals,1,32
love guide,1,32
highly recommended,1,32
top,7,22.6
mystery,21,20.1
kdramas,12,21
rom com,7,25.7
first love,1,32
cast,1,32
official,3,23.3
teaser,3,28
valentine,2,32
week,3,28
cast confirmation,1,32
still cuts,1,32
office romance,4,22
highest rating,1,32
fictional movies,2,26.5
season 2,9,22.2
highest,1,32
ranking,3,39.3
animes,31,18.8
japanese manga,1,32
seaside,1,32
real couple,1,32
chinese drama,6,23.5
onair,1,32
age gap,1,32
k-drama,159,21.2
kmovie,2,26.5
sexual content,1,32
magical,2,30
march list,1,32
dominance,1,32
bdsm,1,32
new upcoming,1,32
rewatch,1,32
high school crush,1,32
jealousy,3,34.7
sismance,1,32
february 2022,2,32
february,2,33
k- movie,1,32
ongoing,3,24.7
ceo romance,1,32
slice of life,13,21.8
concessions,1,32
star cast,1,32
new leads,1,32
tvn,2,24
casting,1,32
khokho,5,20.2
nationalgamesofindia,145,20.5
nationalgames2022,158,20.3
womens100mrace,1,19
mens100mrace,1,19
himadas,1,19
duteechand,1,19
lawnbowls,5,20.2
 nationalgamesofindia,6,19.3
 nationalgames2022,1,19
mensdoubles,1,19
womensdoubles,1,19
men'sfreestylewrestling,1,19
mens400mrace,1,19
womens400mrace,1,19
squash,4,21.2
4×100mrelayrace,1,19
longjump,2,20
discussthrow,2,20
mensgreecoroman,1,19
women'sfreestyle,1,19
nationalgame,1,19
scratchrace,1,19
 nationalgames,5,20.2
lawnbowl,1,19
honest,1,18
problem,1,18
hard,1,18
help,10,24.8
everyone,1,18
dortmund,20,24.6
bayer leverkusen,11,29.5
bayern munich fc,32,27.5
newcastle,11,24.5
wolverhampton wanderers,11,28.3
geocrusaders,45,20.1
euro women's final,2,34
england vs germany,2,34
three lionesses,7,34
england women's football,2,34
finalissima,7,32.3
chloe kelly,3,32.3
toone,2,34
english premier league,241,25.7
conte-tuchel,2,34
notingham forest,2,34
u20 women's world cup,2,34
oceania,2,34
south america,4,30.2
saka,5,53.6
martin odegaard,7,26.9
xhaka,6,65.5
fifa u-20,2,34
u-20 world cup,2,34
usa women,2,34
copa america femenina,2,34
brazil women,3,34
brazil football,3,34
colombia football,2,34
colombia women,2,34
linda caicedo,2,34
yamila rodriguez,2,34
debinha,2,34
adriana,2,34
pia sundhage,2,34
fulham,27,28.7
mo salah,9,31.2
mitrovic,8,30.1
the fa,4,34
harry kane,17,29.5
thomas tuchel,30,27.7
koulibali,2,34
reece james,7,31.1
london derby,3,30.7
matchday 1,2,34
leeds,9,32.7
german football,5,32.2
augsburg,3,27.7
sane,1,34
julian nagelsmann,5,37.4
world cup qualifiers,14,30.7
world cup playoffs,4,31.5
fifa ranking,1,34
andrea sottil,1,34
gerard deulofeu,1,34
beto,2,28.5
wales,8,30.5
beautiful game,1,34
bale,7,28.6
world cup football,4,23
world cup play offs,1,34
czech republic,3,30
international friendlies,2,34
relegation,1,34
uefa nations league campaign,12,28.4
sallai,1,34
gareth southgate,2,32
chelseafcw,2,34
fa women's super league,2,34
alex arnold,2,34
jao cancelo,2,34
fullbacks,1,34
4-3-3,1,34
2-3-2-3,1,34
3-4-3,1,34
alphonso davies,4,32
dumfries,2,28.5
pepguardiola,12,29.2
mbeppe,1,34
as roma,47,33
tammy abraham,3,32.7
north macedonia,3,31.3
man utd,3,27.7
ajax fc,13,27
yann sommer,1,34
borussia monchengladbach,3,32.7
borussia,2,28.5
goal keeper,1,34
england womens football,2,34
euro women,4,34
holland women,1,34
german women,1,34
nemanja matic,4,29.2
italian serie a,1,34
football world cup,3,29.7
u17 women's world cup,3,30
u17 women's football world cup,2,34
japan u17 vs canada u17,1,34
japan vs canada,1,34
fatorda,1,34
 goa,1,34
fifa u17 women's world cup,2,34
women's u17 world cup 2022,1,34
fifa u17 women's world cup india 2022,1,34
brazil u17 vs usa u17,1,34
morocco,14,27
champions league final,5,27.2
thiago alcantara,2,32
kroos,2,34
benzema,13,40.7
vinicius junior,10,29.8
alexis sanchez,7,50.3
mike maignan,1,34
golden glove,1,34
best goalkeeper,1,34
barthez,1,34
lloris,1,34
italian football,6,33.3
midfielders,29,24.2
gattuso,6,40
tuchel,9,29.2
spanish football,13,30.5
selecao,1,34
ecuador,2,32
slovakia,3,31.3
u19 euro,2,34
u20 world cup,2,34
england u19,2,32
france u19,2,32
italy u19,2,32
uzbekistan football,1,34
uzbekistan u23,1,34
afc u23,1,34
eldor shomurodov,1,34
white wolves,1,34
arteta,30,22.2
fabio vieira,7,30.6
saliba,3,27.7
euro cup,1,34
semi finals,1,34
wafcon,2,34
african football,2,34
women's cup of nations,2,34
magaia,1,34
ayane,1,34
desiree ellis,1,34
club world cup,3,31.7
koln,3,27.7
spors,6,28.8
fifa women's u17 world cup,2,34
u17 world cup 2022 india,1,34
nigeria u17 vs chile u17,1,34
blessing emmanuel,1,34
alex popp,1,34
beth mead,1,34
alessia russo,4,31.8
final 2022,1,34
azpilicueta,4,52.5
italy football,2,32
continental cup final,1,34
emma hayes,4,33
sam kerr,6,32.8
ellen white,2,34
thefa,1,34
son min heung,1,34
korea republic,1,34
asian world cup qualifiers,1,34
football and bas,2,30
sterling,6,25.8
rashford,1,34
tadic,1,34
savic,1,34
barcelona women,3,32.3
olympic lyon,2,34
champions league femminile,2,48.5
juventus stadium,1,34
fightback,1,34
turkish super lig,3,32.3
omar elabdellaoui,1,34
galatasaray,10,40
norwich city,5,29.2
uefa champions league 2022-23,1,34
n'golo kante,2,34
kevin de bruyne,13,28.8
van dijk,5,27.2
mendy,3,39.3
mead,1,34
fran kirby,2,31.5
lille,10,29.7
kante,5,25
round of 16,5,28.4
ballon d'or,5,29.4
facup,13,29.2
chris wilder,1,34
eddie howe,6,29.5
koopmeiners,1,34
indian football team,4,23.5
aiff,32,31.7
football in india,1,34
football in schools,1,34
ileague,2,29.5
villarreal,17,28.4
real madrid fc,71,25.6
women's world cup,6,28.3
u17 world cup,4,30
brazil u17 vs morocco u17,1,34
ucl2022,4,25
champions quarter final,1,34
kai havertz,1,34
eduord mendy,1,34
stamford bridge,9,30.4
women u19,1,34
euro u19,2,34
euro women u19,1,34
u19 football,1,34
norway women,1,34
petr cech,1,34
wembley stadium,6,34
david de gea,14,29.9
eintrach francoforte,5,38.8
west ham utd,11,27.5
uefa europa league,7,26.3
frankfurt,9,26.9
bowen,1,34
declan rice,4,29.5
panama,1,34
ofc,1,34
holland,2,34
columbia,4,31.2
fiji,1,34
jack grealish,5,27.6
jarrod bowen,4,33
africa women's cup of nations,1,34
free kick,2,27.5
james ward prowse,2,33
southampton,34,26.7
theory henry,1,34
ivan perisic,4,32.5
djed spence,1,34
richarlison,3,29.3
conte,5,41.2
season 2022-22,1,34
wolverhampton,3,27.7
brighton and hove albion,11,24.9
uswnt,7,32
jamaica,7,31.1
women's football world cup,4,34
2023 australia new zealand,4,34
winter transfer,1,34
rangnick,2,32.5
summer transfer,2,34
reheem sterling,2,34
chelsea women,3,32
slovakia 2022,1,34
youth football,1,34
u20 fifa world cup qualification,1,34
fifa world cup 2023,1,34
marcus edwards,1,34
sporting lisbon,5,24.2
concacaf world cup,2,32
jonathan david,2,32.5
fc porto,2,30
midfielder,9,25.7
sergio agüero,3,31.3
mark noble,1,34
demba ba,1,34
carlos tevez,4,33.5
koscielny,1,34
maxi rodriguez,1,34
jermain defoe,2,29.5
retired,2,27
uefa conference league,3,27.3
valencia,16,34.8
de gea,3,25.3
vardy,1,34
mane,5,26.6
mount,2,42
kelleher,1,34
kepa,1,34
mina cup,1,34
minerva football academy,1,34
minerva punjab fc,1,34
delhi fc,1,34
ranjit bajaj,1,34
barca academy,1,34
youth tournament,1,34
asian qualifiers,1,34
argentina women,1,34
copa america feminina,3,30
paraguay,2,34
colombia 2022,1,34
latin american football,1,34
mohammad salah,2,32
mason mount,4,29.2
india women's u17,1,34
women's u17,1,34
torneo football tournament,1,34
italy u17 women's football,1,34
nordic tournament,1,34
sout africa,1,34
football in africa,1,34
women's super league,1,34
fifa women's world cup,6,18.7
colombia u17 vs spain u17,1,34
spain u17,2,34
england vs spain,1,34
georgia stanway,2,31.5
premier league player of the season,4,26.5
son heung-min,1,34
bukayo saka,14,26.1
alexander-arnold,3,31.3
cristian erikson,1,34
cardiac arrest,3,52
scudetto,3,38
nottingham forest,11,28.2
steve cooper,3,25.3
bournemouth,17,24.6
luka modric,9,27.7
best midfielder,1,34
argentina football,12,27.8
liverpool youth,1,34
liverpool u18,1,34
u18 premier league,1,34
oakley cannonier,1,34
etihad stadium,5,28.4
first leg,1,34
karin benzema,1,34
vinicius jr,2,32
phil foden,5,26
cucurella,2,28.5
barca,7,25
real vellecano,1,34
ter stegen,2,32
sevilla,24,29.1
hoffenheim,4,31.8
u19 euro women's,1,34
spain u19 women,1,34
norway u19 women,1,34
france u19 women,1,34
england football,2,27.5
gareth bale,22,30.7
primera league,1,34
real sociedad,2,29
copa del rey,3,29
david silva,5,30.8
odegaard,1,34
giovanni van bronckhorst,2,32
rangers fc,2,33.5
eintracht frankfurt,23,30.5
scottish premiership,1,34
women's world cup 2022,1,34
women's world cup india 2022,1,34
usa u17,1,34
brazil u17,1,34
japan u17,1,34
germany u17,1,34
light,23,21.3
balloons,1,18
asian cup,4,26.5
football tactics,53,24
football family,28,24.6
arsene wenger,8,26.5
tottenham hotspur stadium,7,24
westham,17,26.4
manchester united fc,66,27.7
wolves fc,3,28
levante,4,21
randers,1,24
love football,6,23.2
qualification,1,24
manchester united club,25,26.4
middlesbrough,6,35.7
championship,4,26
west ham fans,3,26
fcb,2,22
fcbarcelona,38,29.4
barcelona fans,7,23.6
ronaldooooooo,3,24.3
everton fans,3,25.7
tottenham stadium,2,27
bodo glimt,4,32.5
la liga club,18,24.3
espanyol,9,34.2
fifa 2022 world cup,9,24.7
foxes,1,24
grassrootfootball,2,28.5
freud,3,19.3
arsenal transfer,15,24.4
turkish football,1,33
istanbul,4,23.8
trabzonspor,5,26.2
hakim ziyech,10,29.8
morocco football,1,33
dutch eredivishe,1,33
vahid halilhodzic,1,33
angel di maria,20,35.1
german cup,1,33
dfb pokal,1,33
rb leipzig,14,29.6
sc freiburg,1,33
football transfer,12,23.2
billy sharp,2,31.5
sheffield united,5,30.4
mason greenwood,4,28.5
harriet robson,1,33
football writers association,1,33
europa conference league,5,30.6
anceloti,1,33
human nature,1,20
bystander effect,1,20
whyithappens,2,20
gogreen,2,16
savetheplanet,3,20
bethechange,2,20
saveourplanet,1,20
the paradox of choice,1,20
more is less,1,20
save the environment,9,18.4
work space,1,20
evolving times,2,21.5
humanmind,1,20
greenery,38,23.3
snowy,1,26
hill stations,1,26
universes,1,26
strong argument,1,23
single,2,22
million dollar baby,2,20
gametime,2,20
favourite,12,19.2
#football,155,28.8
#crystalpalace,3,30
#arsenal,26,29.9
#preview,14,30.9
#premierleague,27,29.9
selhurstpark,2,30
durandcup2022,13,28.8
khumamlampakstadium,2,30
naihatistadium,2,30
manchestercity,74,25.4
borussiadortmund,8,25.6
cristianoronaldo,28,25.1
championsleague,77,24.4
bayernmunich,16,26.6
manchesterunited,94,25.6
feature,90,25.1
1950,4,30
astonvilla,18,26.1
crystalpalace,16,27.5
aston illapreview,2,30
premierleague,248,26.0
thomastuches,2,30
antonioconte,6,28
tottenhamhotspur,21,27.5
westhamunited,5,30
brightonandhovealbion,8,28.5
leicestercity,14,27.4
raheemsterling,5,28.2
meraki,14,20.5
#meraki,2,22
#meraki #travel #uttrakhand,1,19
cochlear implant,6,42
rak association,1,42
diegomaradona,3,27.7
petershilton,4,30
mikelarteta,16,24.9
lucastorreira,5,27.8
leedsunitedpreview,2,30
afcbournemouth,9,27.1
nottinghamforestpreview,2,30
131stedition,2,30
players,4,25.5
doping,5,29
diegoarmandomaradona,2,30
#news,52,23.2
#frenchligue,2,30
#parisstgermain,3,24
#lionelmessi,2,30
#neymarjr,2,30
#juventus,7,30
#italianleague,2,30
#acmilan,2,30
frenkiedejong,5,29.2
manunited,13,24.8
prediction,8,22.2
livetelecast,6,22.7
gabrieljesus,9,27.6
tickets,7,23.4
match,7,23.6
facupfinals,2,30
gabrielmartinelli,2,30
mattturner,6,28.5
fabiovieira,5,29
jurgenklopp,8,25.1
carabaocups,2,30
westgermany,2,30
worldcup,14,24.8
#foodie,83,20.0
#lsrmun,2,20
#foodislove,36,20.0
happyclub,52,25.1
upkram,1,24
manchester derby,6,24
erik ten hag,60,26.9
wayne rooney,23,27.4
"liverpool,",2,23.5
lfc,2,22.5
gunners,12,62.2
united,1,23
bayern munich,42,25.3
harry maguire,10,23.2
transfer rumors,10,27
three lions,2,20.5
football fans,3,23.7
red devils,2,26.5
antonio rudiger,9,25.9
comspectlbc,46,20.2
adopt stray animals,1,51
data journalism,1,51
feativals,1,51
management,9,28.2
rakesh jhunjhunwala,4,32
overpopulation,1,19
calming,2,32
comhrc,70,22.7
pride parade,22,18.2
seven husbands of evelyn hugo,2,18
novels,78,18.6
bookworms,41,18.0
readers community,14,18.4
glamour,1,18
naruto,13,19.6
gaara,1,18
hinata,4,18
shounen,29,18
lgbtq rights,4,23.8
pride day,4,19
animelove,70,18.1
bookshelf,13,18.4
haikyuu,12,18
comfort,8,19.4
demon slayer,5,18
ao haru ride,1,18
blue spring ride,1,18
sukuna,5,18
jujutsu kaisen vol 0,12,18
yuji itadori,2,18
itadori yuji,4,18
megumi fushiguro,2,18
fushiguro megumi,2,18
nobara,3,18
geto,4,18
toji,4,18
animelife,39,18.2
mangas,27,18
manga reader,24,18
anime watcher,24,18
fight,17,18.1
socerers,4,18
goblin,10,19.6
pride recommendations,20,18
june 21,1,18
taylorswift,3,19.3
harrystyles,5,19.2
haikyuu!!,10,18
kdrama memes,1,18
k drama,14,18.4
k drama memes,3,18
comic,7,18.1
carry on,2,21
reminders of him,1,18
colleen hoover,6,18.2
active,1,18
double standard,2,19.5
five feet apart,2,19
separation,1,18
vincenzo italiano,2,20.5
free,4,23.5
red white and royal blue,2,18
the viscount who loved me,1,18
kate,1,18
anthony,2,19.5
viscount,1,18
bridgerton s2,1,18
kanthony,1,18
enemies to lovers,2,19
netflix adaptation,1,18
reader,18,18
readers,22,18.4
call me by your name,2,18
strong girl bong soon,2,18
white,15,22.1
shirt,9,18.2
bw,3,18
b&w,3,18
b & w,3,18
black & white,3,18
casual outfit,1,18
outfit inspiration,40,18.5
outfits,16,18.8
outfit inspo,28,18
shirts,3,18
exaggeration,1,18
sad,4,22.5
go green,8,24.8
environment protection,1,18
the love hypothesis,5,26.4
ali hazelwood,1,18
pumpkin spice,1,18
horn ok please 2022,1,18
spicy food,8,19.2
savoury,2,19
brownmemes,1,18
affectionate,1,18
yellow,8,26.2
farewell,4,22.8
bowling,3,41.3
day out,2,19
black rights,1,18
mango,3,19.3
vanilla ice,1,18
cravings,10,20.1
grim reapers,1,18
dancing,58,21.8
world vitiligo day,3,18.7
tricks,5,19.4
hacks,9,20.3
techhacks,1,18
bucket hat,3,18
college outfits,1,18
hola,1,18
toxicity,3,26
power crisis in india,1,18
power crisis,1,18
fit,18,18.1
blue,20,21.9
college fit,16,18
anime love,7,18.3
korea,7,19.3
bibimbap,1,18
gimbap,2,18
bulgogi,1,18
itadori,5,18
swim,3,39.3
queer representation,4,25.2
annotations,5,18.2
it ends with us,3,18.3
romance novels,4,18
the spanish love deception,2,18
traditional,24,19.2
indian wear,2,18
queer made,1,18
love is love,8,20.4
strength,24,24.3
vulnerability,1,18
strong,7,19.6
our body our right,2,18
ice skating,1,18
bungo stray dogs,1,18
laugh,9,19.6
sally rooney,3,18
normal people,2,18
bookies,13,20.4
noragami,1,18
anime news,9,18.3
family toxicity,1,18
self-care,4,19.2
the hating game,1,18
haruki murakami,1,18
men without women,1,18
bookmemes,2,18.5
twisted love,1,18
your name,1,18
the kite runner,1,18
recommendations,6,19.3
everything i know about love,1,18
dolly alderton,1,18
reader's community,9,18
one piece,4,18
anime/series,45,18.1
suit,3,18.3
kurti,11,19.2
kurta,2,18
ethnic fit check,2,18
outfit ideas,12,18.2
ootn,7,18
k drama meme,2,18
one piece manga,3,18
butterroom,1,18
nightouts,1,18
nightclubs,2,19.5
partying,3,18
haikyuu!,5,18
college fits,9,18
black and beige,2,18
beige,2,18
heels,7,18.9
bodysuit,2,18
party fit,2,18
office fit,2,18
work wear,2,18
day to night fit,2,18
outfit check,7,18.4
outfit recap,2,18
dressing up,2,18
hunter x hunter,4,18
hxh,4,18
chainsaw man,3,18
popular,5,26.4
anime updates,7,18.4
trailers,7,22.1
realisation,1,18
reality check,2,22
lilac,4,18
lavender,4,18
kicks,4,18
shoes,31,23.7
converse,8,18
one shoulder,2,18
shorts,14,18.4
kaguya sama,1,18
animation,14,19.3
red,5,26.8
demon slayer mugen train,3,18
giyu tomioka,3,18
tanjiro,3,18
inosuke,3,18
zenitsu,3,18
rengoku,3,18
shinobu,3,18
muzan,1,18
demon,1,18
slayer,1,18
pattern,1,18
sunlight,6,18.3
sunshine,7,19
clear sky,1,18
bright,1,18
hook line ans sinker,2,18
tessa bailey,4,18
it happened one summer,3,18
fix her up,3,18
bookshelves,2,18
genre,5,19.2
readers block,11,18
colleenhoover,2,19
all your perfects,1,18
all star,2,18
chuck taylor,4,18
run star,2,18
hike high,2,18
moonstone violet,2,18
black and white,9,21.4
mirror selfies,6,18.3
cow print,2,18
guardian,2,18
kdramamemes,1,18
kdrama meme,1,18
anime eyes,3,18
death note,2,19
black butler,1,18
eyes,7,26.9
summer romance,1,18
teenage romance,1,18
childhood romance,1,18
high school sweethearts,1,18
high school romance,1,18
bookmark,4,18
bookmarks,3,18
the summer i turned pretty,1,18
jenny han,1,18
laughs,3,18
laughing,4,19
relatable,116,19.6
relatable memes,15,18.9
relatable meme,1,18
thai,3,19.7
verity,1,18
your lie in april,2,18
hunter exam arc,2,18
chimera ant arc,2,18
violin,3,19.3
killua,2,18
gon,2,18
hunter,1,18
hunter license,1,18
jujutsu,5,18
nanami,3,18
curses,4,18.5
curse,1,18
long skirts,1,18
rajasthani,2,21.5
handblock print,1,18
rinnegan,1,18
madara,1,18
gojo satoru,1,18
six eyes,1,18
socerer,1,18
chakra,1,18
sharingan,1,18
byakugan,1,18
tokyo ghoul,2,18
anime movie,2,18
my hero academia,6,18
kuroko no basuke,1,18
quirks,3,18
fullmetal alchemist,3,19.3
yu yu hakusho,1,18
code geass,1,18
phantom troupe,1,18
spider arc,1,18
ghoul,1,18
kaneki,1,18
dark,14,17.5
phantom troupe arc,1,18
kurapika,1,18
leorio,1,18
nen,1,18
kdrama world,10,19.5
moms,3,19.3
hugs,1,18
tears,1,18
kisses,1,18
loved,1,18
adored,1,18
appreciated,1,18
appreciation,2,19.5
time to ask questions,1,18
platonic love,1,18
platonic,1,18
besties,3,18.3
daniella pestova,1,18
ariana,1,18
ari,1,18
relationship memes,1,18
guy problems,1,18
crush,4,20.8
crying,2,19
lol,10,24.8
lmao,1,18
rofl,1,18
beautiful world where are you,1,18
conversation with friends,1,18
love reading,1,18
young adult,2,18
paperbacks,5,23.6
paperback,3,18
contemporary fiction,1,18
y/a,1,18
beautiful world,1,18
affirmation,4,22.8
affirmations,1,18
affirmative,1,18
you tube,1,18
snapchat,5,21
face book,1,18
john green,1,18
the fault in our stars,2,19
kamado tanjiro,2,18
nezuko,2,18
uzui,2,18
fire style,2,18
water style,2,18
tanjiro kamado,2,18
demon slayer corps,2,18
entertainment district,2,18
training arc,2,18
heartstopper,1,18
comicbook,1,18
illustrations,1,18
cute,30,22.9
boku no hero academia,2,18
weeb,5,18.2
otaku,5,18.2
tshirt dress,2,18
belt,2,18
sun,33,20.4
cool breeze,1,18
eye makeup,5,20.4
beginner,1,18
mascara,1,18
eyeshadow,1,18
lipstick,2,19
kajal,1,18
eyeliner,4,20.2
glitter,1,18
shimmer,1,18
makeup check,3,19.3
jeans,5,18.4
tie and dye,2,18
people we meet on vacation,1,18
emily henry,1,18
anime relatable moments,2,18
anime meme,4,18
anime memes,9,18
necklace,5,19
rain check,2,18
tshirt,6,18
tshirts,2,18
cropped tshirt,2,18
tee,2,18
cropped tee,2,18
basic,4,18
basic outfit,2,18
basic ootd,2,18
nightsky,3,19.3
the fine print,2,18
lauren asher,4,18
book couples,2,18
reader's block,6,18.5
favorite,4,19.2
streets,11,30
romanticising,1,18
terms and conditions,2,18
reading love,2,18
animememes,2,18
mainstream anime,6,18
mainstream,6,18
yuji,4,18
curse energy,2,18
megumi,2,18
the uncanny counter,1,18
kdramas world,2,19.5
eid ul adha,1,18
red and black,2,18
check,4,24.8
bad boys break hearts,2,18
micalea smeltzer,2,18
finch,2,18
boomworm,2,18
dancer,8,22.5
popping,2,18
crumping,2,18
contemporary,3,19
groove,2,18
grooving,2,18
freestyle,5,31.2
bharatnatyam,4,20.2
star,2,18
korean food,12,20.5
kimbap,1,18
rameyon,1,18
tteokbokki,1,18
jajangmyeon,1,18
twisted hate,1,18
love and other words,1,18
classroom of the elite,1,18
solo leveling,3,18.7
crunchyroll,1,18
manhwa,3,19
anime/seriee,2,18
manga lover,4,18
anime lover,2,18
attack on titan,4,18.2
jjk,3,19
aot,3,18.3
pink sky,3,16.7
cwg,4,18
cwg22,33,20
common wealth games 2022,2,18
birmingham22,10,19.6
silver,4,18
medals,6,23.7
medal,7,25
silver medal,2,18
nishinoya,1,18
anime update,1,18
dragon ball z,4,21.8
dragon ball,3,18.7
dragon ball super,3,22.7
kdrama actors,3,19
out of love,1,18
hazel hayes,1,18
sad ending,3,20
november 9,1,18
sundress,2,18
wrap dress,2,18
wrap around dress,2,18
red and white,2,18
girl next door,2,18
brunch date fit,2,18
casual day out,2,18
black dress,2,18
floral,3,18.7
little black dress,2,18
bodycon,2,18
date night,5,33.6
daytime,2,18
dayout,2,18
the struggle is real,2,18
clothing problems,2,18
pockets,2,18
zuko,1,18
animenews,1,18
lo fi beats,1,18
ghibli,4,18
studio ghibli,4,20
archer's voice,1,18
mia sheridan,1,18
ethnic wear,1,18
traditional attire,1,18
indian weddings,1,18
sarees,3,20.7
oversized,2,18
forecasting love and weather,2,19.5
living life in the moment,1,18
book signing,1,18
preeti shenoy,1,18
a place called home,1,18
all blue,2,18
tank top,2,18
mirror selfie,3,19.3
common wealth games birmingham,2,18
animememe,2,18
naruto shippuden,2,18
hinata shoyo,2,18
hinata uzumaki,2,18
sharara,1,18
dupatta,2,18.5
bolu no hero academia,2,18
shoto,2,18
bakugo,2,18
deku,2,18
midoriya,2,18
shoto todoroki,2,18
katsuki bakugo,2,18
izuku mirodirya,2,18
all might,2,18
eraser head,2,18
uraraka,2,18
hero,6,19.2
quirk,2,18
black pants,3,18.7
clubbing fit check,2,18
all black,2,18
accessories,6,19.5
accessorise,2,18
chains,2,18
necklaces,2,18
bracelet,3,26.3
corset,2,18
corset top,2,18
pants,5,19.2
seven days in june,2,18
tia williams,2,18
bronze,6,22.5
weight lifting,5,19.2
bayley,3,23
hhh,4,22.5
cm punk,5,23
aew,25,23.2
roman reigns,16,23.1
booker t,2,23
batista,2,23
bray wyatt,3,23
nxt,2,23
science behind religion,5,21
giannis antetokounmpo,3,29.3
charles barkley,2,24
reggie miller,2,24
shaq,5,24
kobe,3,24
bill russel,2,24
bobby lashley,2,24
the game,2,19
kardashians,4,19.5
kimye gate,2,19
twilight franchise,2,19
twi-hards,2,19
taehyung/ v,2,19
louis tomlinson has,2,19
niall horan,6,19
harry's house,7,19.4
zouis,2,19
zayn,3,19
louis tomlinson,10,19
jhope,4,20
hslot,2,19
how i met your mother,4,23
loki,5,22
jon snow,3,23
dceu,22,23.5
john boyega,2,23
cw,3,23
arrowverse,4,23
tony stark,2,23
psg split,2,26
policy,6,15.5
reforms,3,12
world humanitarian day,2,12
manly men,2,37.5
moon night,11,21.7
fries,7,20.9
potato,4,20
chances,1,20
lessons in life,11,21.8
cartoon,11,19.1
doraemon,3,20
sfs arsd,39,20.4
business strategy,7,19.3
perspective,2,19
truth over lies,2,19.5
company,3,19.3
space experts,1,19
innovative,1,19
resurgent india,32,12
bats,2,18.5
complement,1,19
national holiday,2,19
newstoryinterest,16,20
phobias,2,22
ecstatic,1,19
role in independence,2,20
august 15,16,20
freedom independence august 15,2,20
fun facts,4,28.8
technical news,1,19
hindu culture,1,19
belief,3,23.7
encyclopedia,1,19
"facts,",2,19.5
wild animals,2,22
heroine,1,19
environment and sustainable development,1,20
environment ,1,20
environment,7,20.6
enterpreneur,3,18.7
sharktank,3,19.7
brightmind,1,19
cold,7,19.7
online class,1,19
shark tank,5,19.8
offer rejection,1,19
hookstep,1,19
pushpa trend,1,19
luxury,5,19.6
milk bank,4,57
amaara,2,57
tata groups,1,19
triangular flag,1,19
beautiful country,1,19
bright sky,5,18.8
scenic,43,21.0
sunset makes characters feel,6,20.8
such as relieved,5,20.6
satisfied or hopeful,5,20.6
love nature,3,19
my photography,2,18
ms excel,7,20.1
introduction,27,20.0
interesting to know,4,19.8
important,5,19.8
child depression,2,20
solutions,5,20.4
lovely day,3,23.3
walks,3,19.3
women in literature,11,22.5
skincare routine,19,20.2
daylight photography,2,22
cloudy day,5,19.6
sports enthusiast,73,22.2
brothers,8,24.5
a,3,22.3
nature events,2,22
sports enthusiastic,14,26.3
i m groot,3,14.7
tea energy drink,2,16
streets of india,8,19.6
sprituality,3,37.3
browsing internet,2,20
decorations,3,36.7
reading novels,24,20.3
#bollywood,266,13.4
#bollywood #legend,247,12.8
#kishorekumar,2,21
#bollywood celebrities,251,12.8
#1970s,2,21
#music,11,21.2
#bollywoodmusic,180,12.6
reading book and writing,7,22.1
blogpost,3,21.3
#delhiuniversity,6,19.8
#delhi #delhi university student,3,20.3
#ducanteen,2,21
#canteenfood,4,21.5
#delhifoodstories,4,20.5
theperksofbeingawallflower,2,21
#grateful,2,21
#happylife,9,20.3
#myself,10,20.6
sport enthusiastic,7,19.9
gta,2,22
bunny,2,12
sad reality,2,21
satin scrunchies,2,24
sewing,2,24
nice,16,20.2
goa life,2,21
get-together,2,55
investment,9,18.3
enterprenures,1,19
country,9,24.3
unicorns,2,19
enterprenureship,2,18.5
2021 year,1,19
karate,7,27.4
"handmade crafts,textile,garments",2,21
study book knowledge,2,15
p,4,23.5
pretty pink,2,21
best tea,2,20
relax,9,19.6
plantations,9,25.9
gadgets,2,19
#flower,3,19
____,2,22
flower photography,32,21.0
pencil sketching,2,21
fav,4,20.8
markedge,8,18.9
